Year,US_Airport,US_Airport_Name,US_State,FG_Airport,FG_State,FG_Airport_Name,Passengers,Flights
1990,ACY,Atlantic City International Airport,NJ,YUL,CA,Montreal / Pierre Elliott Trudeau International Airport,7730,103
1990,ACY,Atlantic City International Airport,NJ,YYZ,CA,Toronto Lester B. Pearson International Airport,19041,214
1990,ANC,Ted Stevens Anchorage International Airport,AK,AMS,NL,Amsterdam Airport Schiphol,119872,727
1990,ANC,Ted Stevens Anchorage International Airport,AK,ARN,SE,Stockholm-Arlanda Airport,15644,112
1990,ANC,Ted Stevens Anchorage International Airport,AK,BRU,BE,Brussels Airport,36108,254
1990,ANC,Ted Stevens Anchorage International Airport,AK,CDG,FR,Charles de Gaulle International Airport,97438,1089
1990,ANC,Ted Stevens Anchorage International Airport,AK,CPH,DK,Copenhagen Kastrup Airport,83389,462
1990,ANC,Ted Stevens Anchorage International Airport,AK,DUS,DE,Düsseldorf Airport,35020,140
1990,ANC,Ted Stevens Anchorage International Airport,AK,FRA,DE,Frankfurt Airport,5856,97
1990,ANC,Ted Stevens Anchorage International Airport,AK,LHR,GB,London Heathrow Airport,234305,1161
1990,ANC,Ted Stevens Anchorage International Airport,AK,NRT,JP,Narita International Airport,640714,7693
1990,ANC,Ted Stevens Anchorage International Airport,AK,TPE,TW,Taiwan Taoyuan International Airport,67804,838
1990,ANC,Ted Stevens Anchorage International Airport,AK,WAW,PL,Warsaw Chopin Airport,4135,25
1990,ANC,Ted Stevens Anchorage International Airport,AK,YZF,CA,Yellowknife International Airport,481,14
1990,ANC,Ted Stevens Anchorage International Airport,AK,ZRH,CH,Zürich Airport,50191,296
1990,ATL,Hartsfield Jackson Atlanta International Airport,GA,ACA,MX,Aeropuerto Internacional Juan N. Álvarez,4969,50
1990,ATL,Hartsfield Jackson Atlanta International Airport,GA,AMS,NL,Amsterdam Airport Schiphol,179493,964
1990,ATL,Hartsfield Jackson Atlanta International Airport,GA,BDA,BM,L.F. Wade International Airport,139659,749
1990,ATL,Hartsfield Jackson Atlanta International Airport,GA,CUN,MX,Aeropuerto Internacional de Cancún,73150,692
1990,ATL,Hartsfield Jackson Atlanta International Airport,GA,CZM,MX,Aeropuerto Internacional de Cozumel,22339,203
1990,ATL,Hartsfield Jackson Atlanta International Airport,GA,FRA,DE,Frankfurt Airport,267918,1505
1990,ATL,Hartsfield Jackson Atlanta International Airport,GA,GCM,KY,Owen Roberts International Airport,2270,34
1990,ATL,Hartsfield Jackson Atlanta International Airport,GA,KIN,JM,Norman Manley International Airport,5291,46
1990,ATL,Hartsfield Jackson Atlanta International Airport,GA,LGW,GB,London Gatwick Airport,353995,2082
1990,ATL,Hartsfield Jackson Atlanta International Airport,GA,MBJ,JM,Sangster International Airport,106302,1163
1990,ATL,Hartsfield Jackson Atlanta International Airport,GA,MEX,MX,Benito Juárez International Airport,79230,730
1990,ATL,Hartsfield Jackson Atlanta International Airport,GA,MUC,DE,Munich Airport,106118,651
1990,ATL,Hartsfield Jackson Atlanta International Airport,GA,NAS,BS,Lynden Pindling International Airport,193949,2171
1990,ATL,Hartsfield Jackson Atlanta International Airport,GA,ORY,FR,Paris-Orly Airport,114533,723
1990,ATL,Hartsfield Jackson Atlanta International Airport,GA,SNN,IE,Shannon Airport,73011,440
1990,ATL,Hartsfield Jackson Atlanta International Airport,GA,YOW,CA,Ottawa Macdonald-Cartier International Airport,315,11
1990,ATL,Hartsfield Jackson Atlanta International Airport,GA,YYZ,CA,Toronto Lester B. Pearson International Airport,1832,26
1990,ATL,Hartsfield Jackson Atlanta International Airport,GA,ZRH,CH,Zürich Airport,112057,683
1990,BDL,Bradley International Airport,CT,CUN,MX,Aeropuerto Internacional de Cancún,16993,107
1990,BDL,Bradley International Airport,CT,NAS,BS,Lynden Pindling International Airport,4169,52
1990,BGR,Bangor International Airport,ME,ACA,MX,Aeropuerto Internacional Juan N. Álvarez,11910,60
